id,abbrev,year
1,ANGS,2015
1,ANGS,2016
1,ANGS,2017
1,ANGS,2018
1,ANGS,2019
2,ROWN,2015
2,ROWN,2016
2,ROWN,2017
2,ROWN,2018
2,ROWN,2019
3,PEPE,2015
3,PEPE,2016
3,PEPE,2017
3,PEPE,2018
3,PEPE,2019
4,BILL,2015
4,BILL,2016
4,BILL,2017
4,BILL,2018
4,BILL,2019
5,CART,2015
5,CART,2016
5,CART,2017
5,CART,2018
5,CART,2019
6,KIER,2015
6,KIER,2016
6,KIER,2017
6,KIER,2018
6,KIER,2019
7,GRIZ,2015
7,GRIZ,2016
7,GRIZ,2017
7,GRIZ,2018
7,GRIZ,2019
8,CHAR,2015
8,CHAR,2016
8,CHAR,2017
8,CHAR,2018
8,CORY,2019
9,COLN,2015
9,COLN,2016
9,COLN,2017
9,COLN,2018
9,COLN,2019
10,NICK,2015
10,NICK,2016
10,NICK,2017
10,NICK,2018
10,NICK,2019
11,KYLE,2015
11,KYLE,2016
11,KYLE,2017
11,KYLE,2018
11,KYLE,2019
