year,game,week,home,team,score,abbrev,win
2015,0,1,FALSE,4,111,BILL,TRUE
2015,0,1,TRUE,7,99,GRIZ,FALSE
2015,1,1,FALSE,8,107,CHAR,TRUE
2015,1,1,TRUE,5,74,CART,FALSE
2015,2,1,FALSE,1,100,AGUS,FALSE
2015,2,1,TRUE,2,117,ROWN,TRUE
2015,3,1,FALSE,3,74,PEPE,FALSE
2015,3,1,TRUE,6,111,KIER,TRUE
2015,4,2,FALSE,8,94,CHAR,TRUE
2015,4,2,TRUE,4,67,BILL,FALSE
2015,5,2,FALSE,7,65,GRIZ,TRUE
2015,5,2,TRUE,1,61,AGUS,FALSE
2015,6,2,FALSE,5,86,CART,TRUE
2015,6,2,TRUE,3,82,PEPE,FALSE
2015,7,2,FALSE,2,102,ROWN,TRUE
2015,7,2,TRUE,6,85,KIER,FALSE
2015,8,3,FALSE,4,139,BILL,TRUE
2015,8,3,TRUE,1,87,AGUS,FALSE
2015,9,3,FALSE,3,121,PEPE,TRUE
2015,9,3,TRUE,8,93,CHAR,FALSE
2015,10,3,FALSE,6,148,KIER,TRUE
2015,10,3,TRUE,7,71,GRIZ,FALSE
2015,11,3,FALSE,2,77,ROWN,FALSE
2015,11,3,TRUE,5,97,CART,TRUE
2015,12,4,FALSE,3,84,PEPE,TRUE
2015,12,4,TRUE,4,72,BILL,FALSE
2015,13,4,FALSE,1,69,AGUS,FALSE
2015,13,4,TRUE,6,94,KIER,TRUE
2015,14,4,FALSE,8,69,CHAR,TRUE
2015,14,4,TRUE,2,68,ROWN,FALSE
2015,15,4,FALSE,7,103,GRIZ,TRUE
2015,15,4,TRUE,5,79,CART,FALSE
2015,16,5,FALSE,4,113,BILL,TRUE
2015,16,5,TRUE,6,106,KIER,FALSE
2015,17,5,FALSE,2,75,ROWN,TRUE
2015,17,5,TRUE,3,69,PEPE,FALSE
2015,18,5,FALSE,5,97,CART,TRUE
2015,18,5,TRUE,1,67,AGUS,FALSE
2015,19,5,FALSE,7,104,GRIZ,FALSE
2015,19,5,TRUE,8,112,CHAR,TRUE
2015,20,6,FALSE,2,104,ROWN,TRUE
2015,20,6,TRUE,4,87,BILL,FALSE
2015,21,6,FALSE,6,113,KIER,TRUE
2015,21,6,TRUE,5,107,CART,FALSE
2015,22,6,FALSE,3,129,PEPE,TRUE
2015,22,6,TRUE,7,82,GRIZ,FALSE
2015,23,6,FALSE,1,51,AGUS,FALSE
2015,23,6,TRUE,8,83,CHAR,TRUE
2015,24,7,FALSE,4,119,BILL,TRUE
2015,24,7,TRUE,5,91,CART,FALSE
2015,25,7,FALSE,7,106,GRIZ,FALSE
2015,25,7,TRUE,2,123,ROWN,TRUE
2015,26,7,FALSE,8,69,CHAR,FALSE
