date,team,score
2015-09-13,agus,100
2015-09-13,bill,111
2015-09-13,cart,74
2015-09-13,char,107
2015-09-13,coln,NA
2015-09-13,kier,111
2015-09-13,kyle,NA
2015-09-13,nick,NA
2015-09-13,pepe,74
2015-09-13,rown,117
2015-09-13,griz,99
2015-09-20,agus,61
2015-09-20,bill,67
2015-09-20,cart,86
2015-09-20,char,94
2015-09-20,coln,NA
2015-09-20,kier,85
2015-09-20,kyle,NA
2015-09-20,nick,NA
2015-09-20,pepe,82
2015-09-20,rown,102
2015-09-20,griz,65
2015-09-27,agus,87
2015-09-27,bill,139
2015-09-27,cart,97
2015-09-27,char,93
2015-09-27,coln,NA
2015-09-27,kier,148
2015-09-27,kyle,NA
2015-09-27,nick,NA
2015-09-27,pepe,121
2015-09-27,rown,77
2015-09-27,griz,71
2015-10-04,agus,69
2015-10-04,bill,72
2015-10-04,cart,79
2015-10-04,char,69
2015-10-04,coln,NA
2015-10-04,kier,94
2015-10-04,kyle,NA
2015-10-04,nick,NA
2015-10-04,pepe,84
2015-10-04,rown,68
2015-10-04,griz,103
2015-10-11,agus,67
2015-10-11,bill,113
2015-10-11,cart,97
2015-10-11,char,112
2015-10-11,coln,NA
2015-10-11,kier,106
2015-10-11,kyle,NA
2015-10-11,nick,NA
2015-10-11,pepe,69
2015-10-11,rown,75
2015-10-11,griz,104
2015-10-18,agus,51
2015-10-18,bill,87
2015-10-18,cart,107
2015-10-18,char,83
2015-10-18,coln,NA
2015-10-18,kier,113
2015-10-18,kyle,NA
2015-10-18,nick,NA
2015-10-18,pepe,129
2015-10-18,rown,104
2015-10-18,griz,82
2015-10-25,agus,90
2015-10-25,bill,119
2015-10-25,cart,91
2015-10-25,char,69
2015-10-25,coln,NA
2015-10-25,kier,117
2015-10-25,kyle,NA
2015-10-25,nick,NA
2015-10-25,pepe,97
2015-10-25,rown,123
2015-10-25,griz,106
2015-11-01,agus,60
2015-11-01,bill,126
2015-11-01,cart,113
2015-11-01,char,89
2015-11-01,coln,NA
2015-11-01,kier,72
2015-11-01,kyle,NA
2015-11-01,nick,NA
2015-11-01,pepe,91
2015-11-01,rown,82
2015-11-01,griz,76
2015-11-08,agus,90
2015-11-08,bill,104
2015-11-08,cart,126
2015-11-08,char,94
2015-11-08,coln,NA
2015-11-08,kier,137
2015-11-08,kyle,NA
2015-11-08,nick,NA
2015-11-08,pepe,77
2015-11-08,rown,110
2015-11-08,griz,73
2015-11-15,agus,67
2015-11-15,bill,109
2015-11-15,cart,82
2015-11-15,char,97
2015-11-15,coln,NA
2015-11-15,kier,106
2015-11-15,kyle,NA
2015-11-15,nick,NA
2015-11-15,pepe,88
2015-11-15,rown,72
2015-11-15,griz,64
2015-11-22,agus,61
2015-11-22,bill,69
2015-11-22,cart,98
2015-11-22,char,73
2015-11-22,coln,NA
2015-11-22,kier,91
2015-11-22,kyle,NA
2015-11-22,nick,NA
2015-11-22,pepe,60
2015-11-22,rown,54
2015-11-22,griz,98
2015-11-29,agus,107
2015-11-29,bill,83
2015-11-29,cart,68
2015-11-29,char,93
2015-11-29,coln,NA
2015-11-29,kier,116
2015-11-29,kyle,NA
2015-11-29,nick,NA
2015-11-29,pepe,92
2015-11-29,rown,71
2015-11-29,griz,108
2015-12-06,agus,89
2015-12-06,bill,98
2015-12-06,cart,92
2015-12-06,char,59
2015-12-06,coln,NA
2015-12-06,kier,100
2015-12-06,kyle,NA
2015-12-06,nick,NA
2015-12-06,pepe,118
2015-12-06,rown,137
2015-12-06,griz,128
2015-12-13,agus,103
2015-12-13,bill,95
2015-12-13,cart,129
2015-12-13,char,114
2015-12-13,coln,NA
2015-12-13,kier,86
2015-12-13,kyle,NA
2015-12-13,nick,NA
2015-12-13,pepe,101
2015-12-13,rown,58
2015-12-13,griz,49
2015-12-20,agus,102
2015-12-20,bill,114
2015-12-20,cart,92
2015-12-20,char,110
2015-12-20,coln,NA
2015-12-20,kier,60
2015-12-20,kyle,NA
2015-12-20,nick,NA
2015-12-20,pepe,147
2015-12-20,rown,99
2015-12-20,griz,58
2015-12-27,agus,123
2015-12-27,bill,111
2015-12-27,cart,85
2015-12-27,char,116
2015-12-27,coln,NA
2015-12-27,kier,91
2015-12-27,kyle,NA
2015-12-27,nick,NA
2015-12-27,pepe,96
2015-12-27,rown,98
2015-12-27,griz,89
2016-01-03,agus,105
2016-01-03,bill,44
2016-01-03,cart,85
2016-01-03,char,81
2016-01-03,coln,NA
2016-01-03,kier,98
2016-01-03,kyle,NA
2016-01-03,nick,NA
2016-01-03,pepe,88
2016-01-03,rown,110
2016-01-03,griz,74
2016-09-11,agus,98.82
2016-09-11,bill,111.54
2016-09-11,cart,95.66
2016-09-11,char,93.96
2016-09-11,coln,NA
2016-09-11,kier,106.1
