isReverseItem,points,statId
FALSE,6,93
FALSE,0,121
FALSE,0,122
FALSE,0,123
FALSE,0,124
FALSE,0,125
FALSE,6,25
FALSE,1,209
FALSE,0,131
FALSE,0,132
FALSE,0,133
FALSE,0,134
FALSE,0,135
FALSE,-2,72
FALSE,0,136
FALSE,6,101
FALSE,6,102
FALSE,2,206
FALSE,6,103
FALSE,6,104
FALSE,2,19
FALSE,6,43
FALSE,4,4
FALSE,-2,20
FALSE,0.1,24
FALSE,6,63
FALSE,3,80
FALSE,2,26
FALSE,0,91
FALSE,0,92
FALSE,4,77
FALSE,0,95
FALSE,0,96
FALSE,0,97
FALSE,0,98
FALSE,0,99
FALSE,0.04,3
FALSE,-1,85
FALSE,1,86
FALSE,0.1,42
FALSE,0,106
FALSE,2,44
FALSE,5,74
