year,week,game,agus,bill,cart,char,coln,kier,kyle,nick,pepe,rown,griz
2015,1,1,100.00,111.00,74.00,107.00,,111.00,,,74.00,117.00,99.00
2015,2,2,61.00,67.00,86.00,94.00,,85.00,,,82.00,102.00,65.00
2015,3,3,87.00,139.00,97.00,93.00,,148.00,,,121.00,77.00,71.00
2015,4,4,69.00,72.00,79.00,69.00,,94.00,,,84.00,68.00,103.00
2015,5,5,67.00,113.00,97.00,112.00,,106.00,,,69.00,75.00,104.00
2015,6,6,51.00,87.00,107.00,83.00,,113.00,,,129.00,104.00,82.00
2015,7,7,90.00,119.00,91.00,69.00,,117.00,,,97.00,123.00,106.00
2015,8,8,60.00,126.00,113.00,89.00,,72.00,,,91.00,82.00,76.00
2015,9,9,90.00,104.00,126.00,94.00,,137.00,,,77.00,110.00,73.00
2015,10,10,67.00,109.00,82.00,97.00,,106.00,,,88.00,72.00,64.00
2015,11,11,61.00,69.00,98.00,73.00,,91.00,,,60.00,54.00,98.00
2015,12,12,107.00,83.00,68.00,93.00,,116.00,,,92.00,71.00,108.00
2015,13,13,89.00,98.00,92.00,59.00,,100.00,,,118.00,137.00,128.00
2015,14,14,103.00,95.00,129.00,114.00,,86.00,,,101.00,58.00,49.00
2015,15,15,102.00,114.00,92.00,110.00,,60.00,,,147.00,99.00,58.00
2015,16,16,123.00,111.00,85.00,116.00,,91.00,,,96.00,98.00,89.00
2015,17,17,105.00,44.00,85.00,81.00,,98.00,,,88.00,110.00,74.00
2016,1,18,98.82,111.54,95.66,93.96,,106.10,78.96,121.42,76.84,78.68,117.30
2016,2,19,82.26,83.88,96.62,125.56,,78.48,126.52,118.32,105.56,55.12,100.66
2016,3,20,93.52,67.66,112.90,76.50,,114.24,97.98,98.34,69.98,106.20,73.58
2016,4,21,96.76,72.30,113.38,85.12,,85.66,89.80,93.74,128.22,84.12,77.04
2016,5,22,100.86,110.82,113.96,94.08,,109.68,111.70,111.66,92.78,109.64,65.60
2016,6,23,42.90,85.56,116.06,74.30,,144.68,79.68,109.94,85.62,107.34,85.56
2016,7,24,77.56,79.14,130.54,97.62,,76.02,86.04,97.28,82.96,112.58,127.02
2016,8,25,85.42,48.98,116.54,98.92,,105.00,80.30,106.60,107.12,103.20,104.56
2016,9,26,92.94,70.40,136.58,116.76,,85.04,112.78,119.42,146.72,56.86,72.66
2016,10,27,118.12,85.74,100.94,88.08,,94.60,102.46,125.42,87.70,94.04,87.96
2016,11,28,85.48,98.78,83.74,96.68,,94.48,118.32,72.90,81.90,105.10,73.18
2016,12,29,84.24,73.34,106.32,141.56,,95.66,77.20,112.70,85.44,92.34,100.84
2016,13,30,95.98,56.76,103.56,113.08,,109.36,96.96,88.84,77.24,73.66,99.56
2016,14,31,56.10,94.26,107.74,65.18,,104.74,94.50,63.28,73.92,116.54,78.10
2016,15,32,65.96,98.06,79.68,92.44,,120.58,77.56,152.56,110.40,85.02,74.98
2016,16,33,108.90,91.56,72.02,118.28,,137.92,69.70,93.66,80.92,81.46,81.52
2016,17,34,73.32,116.82,136.96,126.54,,75.84,78.38,59.40,95.08,91.04,88.74
2017,1,35,58.72,71.54,92.84,84.12,80.36,95.14,95.00,110.84,91.88,63.58,
2017,2,36,81.72,88.32,62.96,94.12,77.66,62.50,83.08,104.78,95.90,107.68,
2017,3,37,91.92,84.72,97.90,64.10,98.30,84.40,74.56,83.76,96.02,133.62,
2017,4,38,120.20,100.66,80.02,71.40,100.18,100.38,96.16,79.08,98.74,80.48,
2017,5,39,87.12,98.84,80.66,86.58,73.14,103.34,89.46,107.84,67.16,77.92,
2017,6,40,68.82,65.92,78.94,96.84,99.20,91.80,111.08,106.82,63.84,104.38,
2017,7,41,76.76,87.86,126.64,70.28,69.32,95.34,88.20,119.86,93.52,59.86,
2017,8,42,112.08,112.48,100.36,85.94,41.72,112.56,99.02,66.92,69.42,88.12,
2017,9,43,90.78,92.12,107.12,75.02,90.40,84.28,90.24,80.66,86.20,86.20,
2017,10,44,88.22,61.38,74.96,77.78,66.74,106.86,89.26,126.64,101.24,107.44,
2017,11,45,108.42,110.70,110.60,84.42,88.18,119.40,50.00,112.10,102.98,113.86,
2017,12,46,91.72,118.14,84.24,116.38,107.68,114.42,66.30,91.98,91.34,119.18,
2017,13,47,81.98,77.22,109.16,98.22,105.34,119.52,105.10,114.18,87.68,84.72,
2017,14,48,107.04,80.66,115.56,113.44,71.34,80.72,83.14,76.14,144.94,67.22,
